episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,custom_metrics/outcome/success_mean,custom_metrics/outcome/success_min,custom_metrics/outcome/success_max,custom_metrics/outcome/failure_mean,custom_metrics/outcome/failure_min,custom_metrics/outcome/failure_max,custom_metrics/failure_code_ratio/crash_mean,custom_metrics/failure_code_ratio/crash_min,custom_metrics/failure_code_ratio/crash_max,custom_metrics/failure_code_ratio/distance_mean,custom_metrics/failure_code_ratio/distance_min,custom_metrics/failure_code_ratio/distance_max,custom_metrics/failure_code_ratio/timeout_mean,custom_metrics/failure_code_ratio/timeout_min,custom_metrics/failure_code_ratio/timeout_max,custom_metrics/failure_code_ratio/reward_lower_bound_max_vel_constraint_mean,custom_metrics/failure_code_ratio/reward_lower_bound_max_vel_constraint_min,custom_metrics/failure_code_ratio/reward_lower_bound_max_vel_constraint_max,custom_metrics/reward_component_totals/dist_change_reward_mean,custom_metrics/reward_component_totals/dist_change_reward_min,custom_metrics/reward_component_totals/dist_change_reward_max,custom_metrics/reward_component_totals/delta_v_mean,custom_metrics/reward_component_totals/delta_v_min,custom_metrics/reward_component_totals/delta_v_max,custom_metrics/reward_component_totals/failure_reward_mean,custom_metrics/reward_component_totals/failure_reward_min,custom_metrics/reward_component_totals/failure_reward_max,custom_metrics/reward_component_totals/success_reward_mean,custom_metrics/reward_component_totals/success_reward_min,custom_metrics/reward_component_totals/success_reward_max,custom_metrics/delta_v_total_mean,custom_metrics/delta_v_total_min,custom_metrics/delta_v_total_max,custom_metrics/constraint_violation.max_vel_constraint.steps_mean,custom_metrics/constraint_violation.max_vel_constraint.steps_min,custom_metrics/constraint_violation.max_vel_constraint.steps_max,custom_metrics/constraint_violation.max_vel_constraint.ratio_mean,custom_metrics/constraint_violation.max_vel_constraint.ratio_min,custom_metrics/constraint_violation.max_vel_constraint.ratio_max,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-3.801279160038309,-3.906790602502561,-3.868041636231275,2001.0,6,6,12006,12006,False,6,1,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-16-52,1690838212,115.38462805747986,115.38462805747986,3553817,barrett2.stanford.edu,172.24.65.168,115.38462805747986,0,1,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.7860437416030971,-0.8221965123810681,-0.72742210969892,-2.0819978946281843,-2.1088772449394098,-2.0715022702018433,-1.0,-1,-1,0.0,0,0,208.19978946281765,207.15022702018368,210.88772449394034,1262.1666666666667,984,1657,0.630767949358654,0.4917541229385307,0.8280859570214892,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561]","[2001, 2001, 2001, 2001, 2001, 2001]",3.6556912071896206,9.663511525381814,0.5026230842242271,12.108588750625188,0.0,67715.584,177.3,435.722,27554.259,46630.301,257.472,48.165,12006,12006,12006,12006,99.98121212121211,62.258787878787885,0.20000000298023224,9.999999960041972e-12,0.0050381096,-8.796328e-05,0.0051260735,0.38837832,-7.700936e-09,2.7273214,0.0
-3.801279160038309,-4.03758528426509,-3.9101175348462895,2001.0,6,6,24012,24012,False,12,2,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-18-22,1690838302,89.86614108085632,205.25076913833618,3553817,barrett2.stanford.edu,172.24.65.168,205.25076913833618,0,2,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8380579880378912,-0.977071112098498,-0.72742210969892,-2.0720595468084055,-2.1088772449394098,-2.037595267345511,-1.0,-1,-1,0.0,0,0,207.20595468083982,203.75952673455052,210.88772449394034,1314.1666666666667,702,1968,0.6567549558554057,0.35082458770614694,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",3.210417864981999,9.66615017238138,0.5012631112362628,12.084497801054889,0.0,59079.206,203.219,221.631,54171.227,42982.569,279.323,46.014,24012,24012,24012,24012,99.97131782945736,62.8891472868217,0.10000000149011612,9.999999960041972e-12,0.006095735,0.0006641317,0.0054316013,0.17376088,-5.7832126e-09,2.7046037,0.0
-3.7890088527328043,-4.042159022952561,-3.9069380564702647,2001.0,6,6,36018,36018,False,18,3,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-19-56,1690838396,93.83251786231995,299.0832870006561,3553817,barrett2.stanford.edu,172.24.65.168,299.0832870006561,0,3,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8381490685726558,-0.977071112098498,-0.72742210969892,-2.0687889878976162,-2.1088772449394098,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,206.87889878976088,202.75097478429444,210.88772449394034,1306.611111111111,702,1968,0.6529790660225443,0.35082458770614694,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.971180801941641,9.684785698679091,0.49799280613197766,12.048143706204023,0.0,56748.758,211.564,149.951,80066.207,42535.841,282.256,47.707,36018,36018,36018,36018,99.97894736842106,62.962406015037594,0.05000000074505806,9.999999960041972e-12,0.004323632,-0.00016103196,0.0044846623,0.243512,-5.0847206e-09,2.7477987,0.0
-3.7890088527328043,-4.042159022952561,-3.90893608096861,2001.0,6,6,48024,48024,False,24,4,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-21-29,1690838489,93.03917455673218,392.1224615573883,3553817,barrett2.stanford.edu,172.24.65.168,392.1224615573883,0,4,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8354651546010382,-0.977071112098498,-0.72742210969892,-2.073470926367578,-2.11875662694375,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,207.34709263675708,202.75097478429444,211.87566269437426,1246.1666666666667,403,1968,0.6227719473596535,0.2013993003498251,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624, -3.845786575083072, -3.908616383885886, -3.8854272714030156, -4.018674191685972, -3.890246060651736, -3.9408304440721857]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.8191455577692346,9.681556871727315,0.4955102515857132,12.050241573003177,0.0,55772.361,215.268,115.479,103966.586,41924.427,286.372,49.327,48024,48024,48024,48024,99.97089552238805,62.94850746268656,0.02500000037252903,9.999999960041972e-12,0.003054188,-0.00041806034,0.0034722514,0.111655176,-7.966313e-09,2.798319,0.0
-3.7890088527328043,-4.084506327658776,-3.917350760991499,2001.0,6,6,60030,60030,False,30,5,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-23-05,1690838585,95.47815775871277,487.6006193161011,3553817,barrett2.stanford.edu,172.24.65.168,487.6006193161011,0,5,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8432548258703243,-0.9910339589415877,-0.72742210969892,-2.0740959351211825,-2.11875662694375,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,207.40959351211748,202.75097478429444,211.87566269437426,1189.3,403,1968,0.594352823588206,0.2013993003498251,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624, -3.845786575083072, -3.908616383885886, -3.8854272714030156, -4.018674191685972, -3.890246060651736, -3.9408304440721857, -4.01499339845932, -3.8568877647786515, -4.084506327658776, -4.031584993204449, -3.838026825872679, -3.880057576524475]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.7132482620427307,9.69441782423934,0.4936105735542548,12.051891259609905,0.0,54798.921,219.092,93.77,128037.3,42434.168,282.932,45.866,60030,60030,60030,60030,99.97537313432835,62.94776119402984,0.012500000186264515,9.999999960041972e-12,0.0053781797,0.0005581575,0.0048200227,0.33571044,-6.31647e-09,2.7233753,0.0
-3.7890088527328043,-4.084506327658776,-3.908799029267304,2001.0,6,6,72036,72036,False,36,6,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-24-37,1690838677,92.48837661743164,580.0889959335327,3553817,barrett2.stanford.edu,172.24.65.168,580.0889959335327,0,6,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8348520971090472,-0.9910339589415877,-0.7221796721310842,-2.0739469321582638,-2.11875662694375,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,207.39469321582567,202.75097478429444,211.87566269437426,1189.3055555555557,403,1968,0.5943555999777889,0.2013993003498251,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624, -3.845786575083072, -3.908616383885886, -3.8854272714030156, -4.018674191685972, -3.890246060651736, -3.9408304440721857, -4.01499339845932, -3.8568877647786515, -4.084506327658776, -4.031584993204449, -3.838026825872679, -3.880057576524475, -3.9519146139952497, -3.842537732334118, -3.8935306409019175, -3.805128183771312, -3.8640573786673285, -3.8390736742080325]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.6325319548639734,9.705782928529697,0.49158715372932055,12.050734126467123,0.0,54211.958,221.464,79.956,150157.932,42205.489,284.465,42.441,72036,72036,72036,72036,99.98030303030303,62.93787878787878,0.0062500000931322575,9.999999960041972e-12,0.0052212267,0.0003962105,0.004825018,0.23645948,-3.6551908e-09,2.7357898,0.0
-3.7890088527328043,-4.084506327658776,-3.9135977189056526,2001.0,6,6,84042,84042,False,42,7,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-26-09,1690838769,91.38847732543945,671.4774732589722,3553817,barrett2.stanford.edu,172.24.65.168,671.4774732589722,0,7,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8394128771365738,-0.9910339589415877,-0.7221796721310842,-2.0741848417690854,-2.11875662694375,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,207.41848417690778,202.75097478429444,211.87566269437426,1184.142857142857,403,1968,0.591775540801028,0.2013993003498251,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624, -3.845786575083072, -3.908616383885886, -3.8854272714030156, -4.018674191685972, -3.890246060651736, -3.9408304440721857, -4.01499339845932, -3.8568877647786515, -4.084506327658776, -4.031584993204449, -3.838026825872679, -3.880057576524475, -3.9519146139952497, -3.842537732334118, -3.8935306409019175, -3.805128183771312, -3.8640573786673285, -3.8390736742080325, -3.991308642384097, -3.8545383997124505, -3.851329566349107, -3.989191097606156, -3.939138017956293, -4.028833416406362]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.5692801919870427,9.71204735357172,0.4896035475718876,12.037661330742168,0.0,53368.752,224.963,69.489,172776.643,42294.136,283.869,44.71,84042,84042,84042,84042,99.96999999999998,62.95153846153846,0.0031250000465661287,9.999999960041972e-12,0.0028374817,-0.0014874651,0.0043249475,0.19756177,-5.124778e-09,2.7481465,0.0
-3.7890088527328043,-4.084506327658776,-3.917354248514767,2001.0,6,6,96048,96048,False,48,8,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-27-42,1690838862,93.02804636955261,764.5055196285248,3553817,barrett2.stanford.edu,172.24.65.168,764.5055196285248,0,8,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8412116086813715,-0.9910339589415877,-0.7221796721310842,-2.0761426398334026,-2.1304055284957117,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,207.6142639833395,202.75097478429444,213.04055284957025,1170.7916666666667,403,1968,0.585103281692487,0.2013993003498251,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624, -3.845786575083072, -3.908616383885886, -3.8854272714030156, -4.018674191685972, -3.890246060651736, -3.9408304440721857, -4.01499339845932, -3.8568877647786515, -4.084506327658776, -4.031584993204449, -3.838026825872679, -3.880057576524475, -3.9519146139952497, -3.842537732334118, -3.8935306409019175, -3.805128183771312, -3.8640573786673285, -3.8390736742080325, -3.991308642384097, -3.8545383997124505, -3.851329566349107, -3.989191097606156, -3.939138017956293, -4.028833416406362, -3.9403968086704957, -3.8794811035069094, -3.911934617960303, -3.8602492504876906, -4.05201738506044, -4.017820568985586]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.5175454352685125,9.71367673269022,0.48805928103610546,12.027764580979754,0.0,52934.544,226.808,61.443,195399.948,42382.593,283.277,42.818,96048,96048,96048,96048,99.97293233082706,63.0,0.0015625000232830644,9.999999960041972e-12,0.0034214784,-0.00026879,0.0036902667,0.14886598,-5.665546e-09,2.7835927,0.0
-3.7890088527328043,-4.084506327658776,-3.9178677982701857,2001.0,6,6,108054,108054,False,54,9,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-29-14,1690838954,91.7868959903717,856.2924156188965,3553817,barrett2.stanford.edu,172.24.65.168,856.2924156188965,0,9,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.840392847937121,-0.9910339589415877,-0.7221796721310842,-2.077474950333072,-2.1304055284957117,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,207.74749503330645,202.75097478429444,213.04055284957025,1146.388888888889,403,1968,0.5729079904492198,0.2013993003498251,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624, -3.845786575083072, -3.908616383885886, -3.8854272714030156, -4.018674191685972, -3.890246060651736, -3.9408304440721857, -4.01499339845932, -3.8568877647786515, -4.084506327658776, -4.031584993204449, -3.838026825872679, -3.880057576524475, -3.9519146139952497, -3.842537732334118, -3.8935306409019175, -3.805128183771312, -3.8640573786673285, -3.8390736742080325, -3.991308642384097, -3.8545383997124505, -3.851329566349107, -3.989191097606156, -3.939138017956293, -4.028833416406362, -3.9403968086704957, -3.8794811035069094, -3.911934617960303, -3.8602492504876906, -4.05201738506044, -4.017820568985586, -3.869843376949358, -3.89389999476188, -3.8962503894234404, -3.957697067000005, -3.981907308900145, -3.9322590408464064]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.4751830253022784,9.712512369333501,0.48702990437972343,12.021701392323441,0.0,52668.638,227.953,55.726,215448.859,42247.763,284.181,40.162,108054,108054,108054,108054,99.97862595419846,63.0,0.0007812500116415322,9.999999960041972e-12,0.0038159015,-0.0004435861,0.0042594858,0.14093234,-6.2063137e-09,2.7559292,0.0
-3.7890088527328043,-4.084506327658776,-3.9222622281551573,2001.0,6,6,120060,120060,False,60,10,bd0b1ac1b5b945c497527697127be625,2023-07-31_14-30-46,1690839046,91.67144393920898,947.9638595581055,3553817,barrett2.stanford.edu,172.24.65.168,947.9638595581055,0,10,079e1_00000,0.0,0,0,1.0,1,1,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,-0.8424308395351215,-0.9910339589415877,-0.7221796721310842,-2.0798313886200424,-2.1359345216552503,-2.0275097478429536,-1.0,-1,-1,0.0,0,0,207.9831388620035,202.75097478429444,213.5934521655235,1127.6833333333334,403,1968,0.5635598867233048,0.2013993003498251,0.9835082458770614,"[-3.801279160038309, -3.895120301604101, -3.8648782659831182, -3.8749385257013964, -3.8652429615581623, -3.906790602502561, -4.03758528426509, -3.984185223196265, -4.009924561970637, -3.9194985892655754, -3.8713541814036114, -3.890612760666647, -3.9060894208633545, -4.042159022952561, -3.8911449232671287, -3.7890088527328043, -3.7950660423561806, -3.9800063361372624, -3.845786575083072, -3.908616383885886, -3.8854272714030156, -4.018674191685972, -3.890246060651736, -3.9408304440721857, -4.01499339845932, -3.8568877647786515, -4.084506327658776, -4.031584993204449, -3.838026825872679, -3.880057576524475, -3.9519146139952497, -3.842537732334118, -3.8935306409019175, -3.805128183771312, -3.8640573786673285, -3.8390736742080325, -3.991308642384097, -3.8545383997124505, -3.851329566349107, -3.989191097606156, -3.939138017956293, -4.028833416406362, -3.9403968086704957, -3.8794811035069094, -3.911934617960303, -3.8602492504876906, -4.05201738506044, -4.017820568985586, -3.869843376949358, -3.89389999476188, -3.8962503894234404, -3.957697067000005, -3.981907308900145, -3.9322590408464064, -3.794147415329861, -3.999189188354629, -3.9006779576403776, -4.0101902342474585, -4.03112193923471, -4.035545847912369]","[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]",2.440976277419624,9.710968052367338,0.4860736127281674,12.017344537207638,0.0,52435.441,228.967,51.005,235390.751,42144.705,284.876,41.438,120060,120060,120060,120060,99.97938931297709,63.03969465648856,0.0003906250058207661,9.999999960041972e-12,0.0032164287,-0.00024707487,0.0034635016,0.077103406,-3.953114e-09,2.8052316,0.0
