Mon May 24 12:34:16 2021    env_step_profile.txt

         1746 function calls (1710 primitive calls) in 0.003 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.001    0.000 rk.py:14(rk_step)
    33/21    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
       70    0.000    0.000    0.000    0.000 platforms.py:412(dx)
       11    0.000    0.000    0.001    0.000 rk.py:111(_step_impl)
  129/105    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       20    0.000    0.000    0.000    0.000 linalg.py:2363(norm)
      114    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       17    0.000    0.000    0.000    0.000 common.py:59(norm)
       70    0.000    0.000    0.000    0.000 base.py:19(fun_wrapped)
        2    0.000    0.000    0.002    0.001 ivp.py:156(solve_ivp)
        2    0.000    0.000    0.000    0.000 common.py:64(select_initial_step)
       70    0.000    0.000    0.000    0.000 base.py:136(fun)
       97    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.exec}
        2    0.000    0.000    0.002    0.001 platforms.py:281(step)
       70    0.000    0.000    0.000    0.000 ivp.py:514(<lambda>)
       97    0.000    0.000    0.000    0.000 _asarray.py:14(asarray)
       11    0.000    0.000    0.000    0.000 rk.py:105(_estimate_error)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(einsum)
        2    0.000    0.000    0.000    0.000 rk.py:85(__init__)
       11    0.000    0.000    0.000    0.000 rk.py:108(_estimate_error_norm)
       11    0.000    0.000    0.001    0.000 base.py:159(step)
       24    0.000    0.000    0.000    0.000 copy.py:253(_keep_alive)
        2    0.000    0.000    0.000    0.000 base.py:115(__init__)
        2    0.000    0.000    0.002    0.001 platforms.py:384(step)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {method 'apply' of 'scipy.spatial.transform.rotation.Rotation' objects}
        2    0.000    0.000    0.000    0.000 common.py:43(validate_tol)
        2    0.000    0.000    0.002    0.001 platforms.py:417(step)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(norm)
